Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,#Pl,Megs,Carries,TotDist,PrgDist,Targ,Rec,Rec%,Miscon,Dispos
Rúben Vinagre\Ruben-Vinagre,POR,DF,Wolves,20,1999,7.2,470,16,138,216,147,16,399,18,41,43.9,21,2,316,2330,1596,306,260,85,10,20
Jake Vokins\Jake-Vokins,ENG,DF,Southampton,19,2000,1,82,1,11,44,33,5,70,0,0,,0,0,56,310,150,63,58,92.1,1,2
Mario Vrančić\Mario-Vrancic,BIH,MF,Norwich City,30,1989,7.1,526,12,125,308,121,12,514,3,5,60,3,1,332,1890,1156,394,362,91.9,4,11
Matěj Vydra\Matej-Vydra,CZE,FW,Burnley,27,1992,9.1,238,10,19,93,138,36,235,7,17,41.2,9,1,116,753,464,412,164,39.8,21,9
Theo Walcott\Theo-Walcott,ENG,MFFW,Everton,30,1989,14.3,575,8,76,220,312,77,564,21,36,58.3,24,2,416,2416,1443,566,397,70.1,28,29
Kyle Walker\Kyle-Walker,ENG,DF,Manchester City,29,1990,26.6,2337,65,468,1453,601,36,2117,25,32,78.1,27,2,1620,10026,5605,1769,1692,95.6,14,18
Kyle Walker-Peters\Kyle-Walker-Peters,ENG,DF,Tottenham,22,1997,2.7,244,12,67,117,75,6,219,3,4,75,3,0,188,964,599,177,171,96.6,0,4
Kyle Walker-Peters\Kyle-Walker-Peters,ENG,DF,Southampton,22,1997,7.8,536,33,159,286,142,14,441,20,23,87,20,1,334,2420,1394,303,288,95,5,9
Aaron Wan-Bissaka\Aaron-Wan-Bissaka,ENG,DF,Manchester Utd,21,1997,34.1,2560,104,740,1182,779,46,2182,59,91,64.8,60,3,1548,8340,4975,1570,1456,92.7,26,43
Victor Wanyama\Victor-Wanyama,KEN,MF,Tottenham,28,1991,0.3,21,0,5,19,1,0,19,1,1,100,1,0,12,112,74,12,12,100,0,0
Joel Ward\Joel-Ward,ENG,DF,Crystal Palace,29,1989,26.5,1544,118,518,764,335,11,1268,13,19,68.4,14,2,754,3656,2004,799,744,93.1,12,20
James Ward-Prowse\James-Ward-Prowse,ENG,MFDF,Southampton,24,1994,38,2399,124,452,1252,775,55,2022,15,21,71.4,16,1,1114,4224,1700,1362,1196,87.8,24,16
Kelland Watts\Kelland-Watts,ENG,DF,Newcastle Utd,19,1999,0.2,5,2,5,0,0,0,5,0,0,,0,0,3,17,5,3,3,100,0,0
Adam Webster\Adam-Webster,ENG,DF,Brighton,24,1995,29.6,2175,349,1279,942,132,30,2099,12,14,85.7,12,0,1348,9477,5945,1425,1400,98.2,8,14
Danny Welbeck\Danny-Welbeck,ENG,FWMF,Watford,28,1990,9.1,282,5,33,109,159,48,274,9,19,47.4,9,0,195,1402,672,354,198,55.9,22,19
Ashley Westwood\Ashley-Westwood,ENG,MF,Burnley,29,1990,35,2081,63,323,1284,546,19,1883,10,23,43.5,11,1,1202,4650,2058,1379,1266,91.8,17,16
Connor Wickham\Connor-Wickham,ENG,FWMF,Crystal Palace,26,1993,1.1,62,0,5,28,31,7,60,2,3,66.7,2,0,29,157,56,79,46,58.2,4,4
Georginio Wijnaldum\Georginio-Wijnaldum,NED,MF,Liverpool,28,1990,32.6,1920,41,288,1190,569,83,1893,49,78,62.8,50,5,1504,8139,3620,1635,1441,88.1,36,41
Jetro Willems\Jetro-Willems,NED,DF,Newcastle Utd,25,1994,16.6,755,61,262,301,223,22,627,30,39,76.9,30,0,408,2043,1313,407,346,85,9,7
Brandon Williams\Brandon-Williams,ENG,DF,Manchester Utd,18,2000,11.2,764,38,235,365,226,29,683,14,20,70,15,0,507,3205,2058,538,500,92.9,14,10
Neco Williams\Neco-Williams,WAL,DF,Liverpool,18,2001,2.6,245,3,59,110,90,10,210,6,13,46.2,7,0,151,793,384,168,147,87.5,3,0
Willian\Willian,BRA,FW,Chelsea,30,1988,28.9,1928,20,210,792,1092,139,1788,62,86,72.1,65,3,1454,12335,6885,1730,1438,83.1,51,40
Joe Willock\Joe-Willock,ENG,MFFW,Arsenal,19,1999,9.5,515,28,109,279,177,36,505,22,33,66.7,23,3,384,2835,1687,415,333,80.2,27,19
Jack Wilshere\Jack-Wilshere,ENG,MF,West Ham,27,1992,2.4,108,1,12,69,31,4,106,5,10,50,6,1,80,508,251,94,76,80.9,3,13
Callum Wilson\Callum-Wilson,ENG,FW,Bournemouth,27,1992,32.3,881,21,68,346,517,177,854,24,48,50,25,0,603,3384,1835,1390,642,46.2,105,55
Harry Wilson\Harry-Wilson,WAL,MFFW,Bournemouth,22,1997,18.3,857,25,126,380,401,59,795,20,38,52.6,23,0,565,3621,1760,665,539,81.1,30,20
Harry Winks\Harry-Winks,ENG,MF,Tottenham,23,1996,24.7,1840,58,411,1229,323,4,1773,14,22,63.6,15,1,1311,7361,3746,1423,1378,96.8,10,15
Chris Wood\Chris-Wood,NZL,FW,Burnley,27,1991,27.1,763,22,58,309,421,111,749,9,20,45,10,1,366,1457,696,1314,581,44.2,85,31
Granit Xhaka\Granit-Xhaka,SUI,MF,Arsenal,26,1992,28.7,2145,126,635,1321,315,18,2095,27,32,84.4,27,2,1528,7434,3612,1643,1559,94.9,10,12
Andriy Yarmolenko\Andriy-Yarmolenko,UKR,MFFW,West Ham,29,1989,11,545,11,81,222,268,59,533,10,16,62.5,10,0,406,2363,1291,572,418,73.1,24,18
DeAndre Yedlin\DeAndre-Yedlin,USA,DF,Newcastle Utd,26,1993,10.4,407,39,151,165,110,5,366,5,11,45.5,6,0,212,1152,699,277,225,81.2,6,5
Maya Yoshida\Maya-Yoshida,JPN,DF,Southampton,30,1988,6.2,317,38,166,143,20,6,309,1,1,100,1,0,170,820,287,194,187,96.4,1,3
Ashley Young\Ashley-Young,ENG,DF,Manchester Utd,34,1985,10.6,836,36,192,443,240,12,656,8,17,47.1,9,2,503,2166,1220,508,479,94.3,5,3
Pablo Zabaleta\Pablo-Zabaleta,ARG,DF,West Ham,34,1985,6.6,398,37,118,205,93,8,332,0,2,0,0,0,197,1004,530,228,202,88.6,2,2
Wilfried Zaha\Wilfried-Zaha,CIV,MFFW,Crystal Palace,26,1992,36.4,1859,9,193,868,996,226,1831,162,262,61.8,172,7,1716,13591,8969,1956,1459,74.6,123,172
Christoph Zimmermann\Christoph-Zimmermann,GER,DF,Norwich City,26,1993,15.9,826,183,549,321,20,7,807,4,6,66.7,4,0,443,3197,1945,456,453,99.3,4,5
Oleksandr Zinchenko\Oleksandr-Zinchenko,UKR,DF,Manchester City,22,1996,14.2,1467,29,280,746,533,10,1353,5,10,50,5,0,961,4038,2313,1143,1101,96.3,6,8
Richairo Živković\Richairo-Zivkovic,NED,FW,Sheffield Utd,22,1996,1.2,31,0,1,15,18,2,28,1,3,33.3,1,0,23,142,74,56,23,41.1,4,3
Kurt Zouma\Kurt-Zouma,FRA,DF,Chelsea,24,1994,26,2291,265,1218,1162,50,20,2263,8,12,66.7,9,0,1588,8059,4309,1698,1674,98.6,6,5
